id,satisfaction,gender,customer_type,age,type_of_travel,class,flight_distance,seat_comfort,departure/arrival_time_convenient,food_and_drink,gate_location,inflight_wifi_service,inflight_entertainment,online_support,ease_of_online_booking,on-board_service,leg_room_service,baggage_handling,checkin_service,cleanliness,online_boarding,departure_delay_in_minutes,arrival_delay_in_minutes
46,0,Female,disloyal Customer,23,Business travel,Eco,1371,3,0,3,1,4,3,4,4,3,2,5,3,4,4,16,13.0
47,1,Male,disloyal Customer,24,Business travel,Business,1192,0,4,0,4,4,4,2,4,4,2,5,5,5,4,0,0.0
48,0,Female,disloyal Customer,40,Business travel,Business,1776,3,3,3,3,5,3,4,5,1,2,3,2,2,5,29,41.0
49,0,Male,disloyal Customer,20,Business travel,Eco,1180,4,5,4,1,5,4,3,5,5,4,5,5,4,5,0,29.0
50,1,Male,disloyal Customer,27,Business travel,Business,1779,4,4,4,4,5,4,5,5,3,4,4,5,5,5,0,0.0
51,1,Male,Loyal Customer,44,Business travel,Business,1872,2,2,4,2,5,5,5,5,5,5,5,3,5,4,0,0.0
52,0,Female,disloyal Customer,20,Business travel,Eco,1397,4,0,4,1,5,4,5,5,4,5,5,3,4,5,2,10.0
53,0,Male,disloyal Customer,37,Business travel,Business,1267,2,3,3,4,3,3,1,3,4,2,5,3,5,3,4,1.0
54,1,Male,Loyal Customer,40,Business travel,Business,2903,3,3,3,3,2,5,4,4,4,4,4,5,4,5,0,0.0
55,0,Male,Loyal Customer,36,Business travel,Business,3664,1,1,1,1,1,3,3,3,3,3,1,4,3,2,40,71.0
56,1,Female,Loyal Customer,56,Business travel,Business,2485,2,2,2,2,5,5,4,4,4,5,5,5,4,3,0,0.0
57,1,Female,Loyal Customer,56,Business travel,Business,322,1,1,1,1,2,4,4,5,5,5,4,3,5,4,0,0.0
58,1,Female,Loyal Customer,43,Business travel,Business,2248,0,5,0,1,4,4,5,5,5,5,5,4,5,3,0,0.0
59,1,Female,Loyal Customer,41,Business travel,Business,4006,1,1,1,1,4,4,5,4,4,4,5,5,4,4,1,0.0
60,1,Male,Loyal Customer,57,Business travel,Business,3417,1,1,1,1,5,5,5,4,4,4,5,3,4,5,19,34.0
61,1,Male,Loyal Customer,42,Business travel,Business,3419,3,3,3,3,2,5,4,4,4,4,5,5,4,3,0,0.0
62,0,Male,Loyal Customer,31,Business travel,Eco,1934,2,5,5,5,2,2,2,1,4,3,4,2,3,2,151,186.0
63,0,Female,Loyal Customer,37,Business travel,Business,2445,3,4,4,4,3,4,4,2,2,2,3,1,2,4,0,8.0
64,1,Male,Loyal Customer,56,Business travel,Business,217,1,1,1,1,5,5,4,3,3,4,5,5,3,5,0,3.0
65,1,Male,disloyal Customer,24,Business travel,Eco,1094,0,0,0,1,5,0,5,5,5,5,4,3,5,5,0,0.0
66,0,Male,Loyal Customer,36,Business travel,Business,97,1,5,5,5,4,3,3,3,3,3,1,2,3,3,12,8.0
67,1,Male,Loyal Customer,50,Business travel,Business,408,4,4,4,4,2,4,5,5,5,5,5,4,5,5,0,0.0
68,0,Male,Loyal Customer,43,Business travel,Business,94,4,5,5,5,4,3,3,2,2,2,4,2,2,4,0,0.0
69,0,Male,Loyal Customer,52,Business travel,Business,233,3,1,3,1,4,3,3,1,1,1,3,4,1,4,0,67.0
70,0,Female,Loyal Customer,49,Business travel,Business,3232,4,3,3,3,3,4,4,1,1,1,4,1,1,3,68,59.0
71,0,Female,disloyal Customer,47,Business travel,Eco,1385,1,4,1,1,3,1,3,3,5,5,1,4,4,3,0,14.0
72,0,Male,Loyal Customer,53,Business travel,Business,3209,3,2,2,2,3,3,3,2,2,1,3,3,2,1,7,24.0
73,1,Male,Loyal Customer,70,Business travel,Eco,1576,5,5,5,5,5,5,5,5,3,2,1,3,4,5,0,0.0
74,0,Female,disloyal Customer,25,Business travel,Eco,1813,3,2,3,4,4,3,3,4,1,2,3,1,4,4,10,1.0
75,0,Female,disloyal Customer,23,Business travel,Eco,1364,2,5,1,2,2,1,2,2,4,2,4,5,2,2,0,0.0
76,1,Male,disloyal Customer,55,Business travel,Eco,1358,5,0,4,5,4,4,5,4,5,2,5,4,2,4,0,0.0
77,0,Female,disloyal Customer,72,Business travel,Eco,1965,3,3,3,4,3,2,2,3,4,4,3,2,2,2,324,296.0
78,1,Male,Loyal Customer,58,Personal Travel,Eco,1270,4,4,4,3,2,4,2,2,4,3,4,1,5,2,0,4.0
79,1,Female,Loyal Customer,70,Personal Travel,Eco,118,5,4,0,3,4,4,4,3,3,0,3,5,3,5,50,41.0
80,1,Female,Loyal Customer,46,Personal Travel,Eco,94,4,2,4,2,5,4,1,5,2,5,2,4,3,5,45,29.0
81,1,Female,Loyal Customer,19,Personal Travel,Eco,1672,4,5,5,5,1,5,3,4,4,4,4,1,4,1,0,0.0
82,0,Male,Loyal Customer,39,Personal Travel,Eco,1671,1,2,1,4,2,1,2,2,3,1,4,2,4,2,0,7.0
83,0,Male,Loyal Customer,58,Personal Travel,Eco,1802,2,2,2,4,2,4,4,3,2,3,4,4,3,4,254,254.0
84,1,Female,Loyal Customer,9,Personal Travel,Eco,1053,5,3,5,5,3,5,3,3,3,4,3,1,3,3,0,0.0
85,0,Male,Loyal Customer,53,Personal Travel,Eco,1390,3,1,3,1,2,3,2,2,3,1,1,4,1,2,0,0.0
86,1,Female,Loyal Customer,27,Personal Travel,Eco,2061,1,5,1,1,5,4,4,1,4,3,5,4,4,4,0,13.0
87,0,Male,Loyal Customer,65,Personal Travel,Eco,834,3,5,3,3,5,3,5,5,4,3,5,4,5,5,1,0.0
88,1,Female,Loyal Customer,52,Personal Travel,Eco,450,4,4,4,4,2,4,2,4,4,4,4,4,4,5,2,0.0
89,1,Female,Loyal Customer,53,Personal Travel,Eco,107,2,2,2,2,3,5,5,4,4,4,4,5,4,4,0,0.0
90,1,Male,Loyal Customer,41,Business travel,Business,2869,2,2,4,2,3,4,4,5,5,5,5,4,5,3,72,78.0
91,0,Female,disloyal Customer,32,Business travel,Business,1235,4,4,4,3,4,4,5,4,4,1,4,4,4,4,0,5.0
92,1,Female,Loyal Customer,50,Business travel,Business,2054,5,5,5,5,4,5,4,5,5,5,4,3,5,5,0,34.0
93,0,Female,Loyal Customer,43,Business travel,Business,3532,1,2,2,2,2,3,3,1,1,1,1,2,1,1,101,123.0
94,0,Male,Loyal Customer,80,Business travel,Eco Plus,1181,1,4,4,4,1,1,1,1,3,2,3,3,3,1,0,0.0
95,1,Female,Loyal Customer,7,Personal Travel,Eco Plus,1699,4,4,4,4,2,1,1,4,4,4,4,3,4,4,18,35.0
96,1,Female,Loyal Customer,34,Personal Travel,Eco Plus,1401,3,3,2,3,3,5,3,4,4,4,4,1,4,5,0,0.0
97,0,Female,disloyal Customer,18,Business travel,Eco Plus,1516,3,5,3,3,1,3,1,1,1,4,1,2,5,1,0,0.0
98,1,Male,Loyal Customer,44,Business travel,Business,601,4,4,4,4,3,4,5,4,4,4,4,3,4,5,0,11.0
99,1,Female,Loyal Customer,52,Business travel,Business,575,5,5,5,5,3,4,5,4,4,4,4,4,4,3,27,18.0
100,1,Female,disloyal Customer,23,Business travel,Eco,2107,0,4,0,4,5,0,5,5,4,2,5,4,5,5,27,36.0
101,1,Male,Loyal Customer,44,Business travel,Business,3001,1,1,1,1,5,4,4,4,4,4,4,3,4,3,0,0.0
102,1,Female,Loyal Customer,51,Business travel,Business,1978,3,3,3,3,2,4,4,4,4,5,4,4,4,4,0,0.0
103,1,Male,Loyal Customer,44,Business travel,Business,2004,1,1,1,1,4,4,5,4,4,4,4,3,4,5,0,0.0
104,1,Male,Loyal Customer,42,Business travel,Business,3255,3,3,1,3,3,4,4,4,4,4,4,3,4,5,0,0.0
105,1,Female,Loyal Customer,55,Business travel,Business,2663,1,1,1,1,4,5,5,5,5,5,5,5,5,4,0,0.0
106,1,Male,disloyal Customer,24,Business travel,Business,1605,4,0,4,2,5,4,4,5,5,4,5,3,4,5,96,95.0
107,1,Male,Loyal Customer,47,Business travel,Business,3507,4,4,4,4,2,4,5,5,5,5,5,5,5,3,0,27.0
108,0,Male,Loyal Customer,43,Business travel,Business,595,4,3,3,3,1,4,3,4,4,4,4,2,4,1,45,51.0
109,0,Female,Loyal Customer,72,Business travel,Business,3815,1,1,3,1,1,1,1,4,5,3,2,1,4,1,60,145.0
110,1,Female,disloyal Customer,27,Business travel,Business,1765,5,5,5,3,2,5,2,2,4,5,4,5,5,2,0,0.0
111,1,Female,Loyal Customer,39,Business travel,Business,2064,2,2,2,2,3,5,5,4,4,5,4,5,4,3,104,122.0
112,0,Female,disloyal Customer,11,Business travel,Eco,2146,4,0,4,3,2,4,2,2,3,2,4,1,3,2,1,2.0
113,0,Male,Loyal Customer,54,Business travel,Business,3408,4,2,5,2,2,4,4,4,4,4,4,3,4,3,32,40.0
114,0,Female,Loyal Customer,51,Business travel,Business,606,2,3,3,3,1,4,4,2,2,3,2,4,2,3,0,15.0
115,0,Female,disloyal Customer,12,Business travel,Business,1818,3,2,3,3,2,3,2,2,3,4,3,3,3,2,11,25.0
116,0,Female,disloyal Customer,26,Business travel,Business,1600,2,2,2,3,3,2,4,3,1,1,3,1,3,3,0,8.0
117,1,Male,Loyal Customer,39,Business travel,Business,1575,4,4,4,4,1,3,3,5,5,5,4,5,5,5,0,0.0
118,1,Male,Loyal Customer,32,Business travel,Business,2489,5,5,5,5,4,4,4,4,4,2,2,4,3,4,183,192.0
119,0,Female,Loyal Customer,37,Business travel,Eco,1421,2,1,1,1,2,2,2,2,3,4,3,3,3,2,0,21.0
120,0,Male,Loyal Customer,40,Business travel,Business,3086,4,2,2,2,3,4,4,1,1,1,4,1,1,2,38,29.0
121,1,Female,Loyal Customer,38,Personal Travel,Eco,2374,4,4,4,4,2,4,4,4,4,4,4,5,4,4,0,6.0
122,0,Male,Loyal Customer,17,Personal Travel,Eco,2000,4,4,4,3,4,4,3,4,4,2,5,3,4,4,3,6.0
123,1,Female,Loyal Customer,33,Personal Travel,Eco,2190,5,5,5,1,2,4,5,2,2,5,2,3,2,4,30,41.0
124,1,Female,Loyal Customer,7,Personal Travel,Eco,1555,1,1,1,1,3,3,3,2,4,4,3,3,3,3,0,2.0
125,0,Male,Loyal Customer,21,Personal Travel,Eco,1830,3,5,3,3,5,3,5,5,4,3,1,4,5,5,103,117.0
126,0,Male,Loyal Customer,66,Personal Travel,Eco,2181,2,5,2,4,5,2,5,5,3,5,2,5,5,5,88,84.0
127,1,Female,Loyal Customer,68,Personal Travel,Eco,578,1,4,1,1,5,5,5,4,4,4,4,4,4,3,42,37.0
128,0,Male,Loyal Customer,65,Personal Travel,Eco,2174,2,1,2,4,4,2,4,4,1,1,4,1,3,4,7,15.0
129,0,Male,Loyal Customer,67,Personal Travel,Eco,1953,4,2,4,4,2,4,2,2,4,3,4,1,3,2,0,0.0
130,1,Female,Loyal Customer,39,Business travel,Business,1889,1,1,1,1,4,5,4,4,4,4,4,3,4,4,54,49.0
131,0,Female,disloyal Customer,28,Business travel,Business,2001,3,3,3,4,5,3,5,5,1,4,3,1,3,5,115,116.0
132,0,Male,disloyal Customer,59,Business travel,Business,1522,2,2,2,3,2,2,2,2,4,3,4,4,5,2,11,5.0
133,0,Female,disloyal Customer,26,Business travel,Business,1188,3,3,3,3,3,3,4,3,2,1,3,2,3,3,38,44.0
134,1,Female,Loyal Customer,33,Business travel,Business,230,1,1,1,1,5,4,5,5,5,5,5,4,5,5,56,57.0
135,0,Male,disloyal Customer,56,Business travel,Business,1475,3,3,3,1,2,3,3,2,4,3,4,5,5,2,0,0.0
136,1,Female,Loyal Customer,43,Business travel,Business,2037,2,2,2,2,2,5,4,4,4,4,4,4,4,4,4,15.0
137,1,Female,Loyal Customer,45,Business travel,Business,229,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,16.0
138,1,Male,Loyal Customer,45,Business travel,Business,2403,2,2,2,2,2,5,4,4,4,4,4,3,4,5,0,0.0
139,0,Female,Loyal Customer,69,Business travel,Business,3298,3,5,5,5,4,4,3,3,3,3,3,2,3,1,3,3.0
140,1,Male,Loyal Customer,31,Business travel,Business,4865,4,4,4,4,4,4,4,4,4,5,4,4,5,4,0,5.0
141,1,Female,Loyal Customer,55,Business travel,Business,256,4,4,4,4,3,4,4,4,4,4,4,3,4,4,7,1.0
142,1,Male,Loyal Customer,58,Business travel,Business,240,2,2,4,2,3,5,5,4,4,4,4,4,4,4,0,0.0
143,1,Female,Loyal Customer,39,Business travel,Business,272,0,0,0,5,2,5,4,2,2,2,2,4,2,4,0,18.0
144,1,Female,Loyal Customer,41,Business travel,Business,3002,0,0,0,2,5,4,5,1,1,1,1,4,1,5,0,0.0
145,0,Male,Loyal Customer,16,Business travel,Business,1797,4,1,1,1,3,4,4,4,2,4,4,4,3,4,265,260.0
146,1,Male,Loyal Customer,60,Business travel,Business,2405,4,4,4,4,2,4,5,4,4,4,4,3,4,3,66,61.0
147,0,Female,Loyal Customer,47,Business travel,Business,3755,2,1,1,1,2,2,2,4,1,4,4,2,2,2,117,136.0
148,0,Female,Loyal Customer,54,Business travel,Business,261,2,3,3,3,2,3,3,2,2,2,2,3,2,3,58,62.0
149,0,Male,Loyal Customer,37,Business travel,Business,3772,2,3,3,3,4,3,2,2,2,2,2,3,2,1,41,50.0
150,0,Male,disloyal Customer,21,Business travel,Eco,1841,2,1,2,3,2,3,3,4,3,4,4,3,2,3,166,185.0
151,1,Male,Loyal Customer,36,Business travel,Business,1561,5,1,5,5,2,5,5,5,5,5,5,4,5,5,11,19.0
152,0,Female,Loyal Customer,51,Business travel,Business,3464,3,4,4,4,5,3,3,3,3,3,3,4,3,4,44,42.0
153,1,Female,Loyal Customer,35,Business travel,Business,273,3,3,3,3,5,4,4,5,5,5,5,4,5,3,0,10.0
154,1,Female,Loyal Customer,41,Business travel,Business,2739,4,4,4,4,4,4,5,5,5,5,5,3,5,5,0,0.0
155,0,Female,disloyal Customer,17,Business travel,Business,1403,4,3,4,3,5,4,5,5,1,2,4,4,4,5,0,11.0
156,0,Female,disloyal Customer,49,Business travel,Business,1754,2,2,2,3,3,2,5,3,1,5,4,2,3,3,4,9.0
157,0,Male,Loyal Customer,60,Business travel,Business,3455,1,3,3,3,1,3,4,1,1,2,1,3,1,1,0,0.0
158,0,Male,disloyal Customer,22,Business travel,Eco,1585,1,4,1,3,2,1,2,2,3,2,3,3,4,2,0,0.0
159,1,Female,Loyal Customer,46,Business travel,Business,251,4,4,4,4,5,3,5,5,5,5,5,4,5,1,0,0.0
160,1,Female,Loyal Customer,42,Personal Travel,Eco,272,4,4,4,4,5,5,5,4,4,4,4,5,4,3,55,59.0
161,0,Male,Loyal Customer,20,Personal Travel,Eco,1289,2,5,2,5,5,2,5,5,3,2,5,4,4,5,49,63.0
162,0,Male,Loyal Customer,14,Personal Travel,Eco,2002,3,5,0,1,5,0,5,5,1,2,5,3,4,5,0,0.0
163,1,Female,Loyal Customer,64,Personal Travel,Eco,229,3,3,3,3,2,3,2,4,4,4,4,3,4,3,6,0.0
164,0,Male,Loyal Customer,12,Personal Travel,Eco,1903,4,4,4,1,4,4,4,5,5,4,4,4,5,4,134,133.0
165,0,Male,Loyal Customer,29,Personal Travel,Eco,1722,2,5,0,3,2,0,2,2,4,5,5,3,5,2,52,56.0
166,1,Female,Loyal Customer,44,Personal Travel,Eco,234,3,3,5,3,4,4,4,4,4,3,4,5,4,4,31,25.0
167,1,Female,Loyal Customer,66,Personal Travel,Eco,234,5,5,3,5,5,3,2,5,5,5,5,3,5,1,0,0.0
168,0,Male,Loyal Customer,37,Personal Travel,Eco,1378,3,5,3,4,4,3,4,4,3,2,5,3,5,4,36,43.0
169,0,Male,Loyal Customer,35,Personal Travel,Eco,1643,2,3,2,3,4,2,4,4,4,4,1,3,3,4,0,10.0
170,1,Female,Loyal Customer,36,Personal Travel,Eco,1558,2,2,2,2,5,5,5,5,5,5,5,5,5,5,0,0.0
171,1,Female,Loyal Customer,49,Business travel,Business,1848,4,4,4,4,5,4,5,5,5,5,5,3,5,3,15,12.0
172,1,Male,Loyal Customer,37,Business travel,Business,228,3,3,3,3,5,5,5,5,5,4,5,5,5,4,0,0.0
173,1,Female,Loyal Customer,57,Business travel,Business,239,1,1,1,1,2,5,4,5,5,5,5,4,5,4,10,10.0
174,0,Female,Loyal Customer,39,Business travel,Business,3855,3,4,3,4,1,3,4,3,3,3,3,4,3,2,6,9.0
175,0,Male,disloyal Customer,36,Business travel,Business,1694,2,2,2,3,5,2,5,5,3,4,4,5,4,5,0,0.0
176,1,Female,Loyal Customer,56,Personal Travel,Eco Plus,272,1,1,1,1,5,3,5,4,4,4,4,1,4,2,0,17.0
177,1,Female,Loyal Customer,10,Personal Travel,Eco Plus,1227,0,3,0,5,2,3,2,2,2,2,2,5,2,1,39,56.0
178,0,Male,Loyal Customer,28,Personal Travel,Eco Plus,1800,2,1,2,4,4,2,4,4,3,3,4,3,4,4,0,0.0
179,1,Female,Loyal Customer,36,Business travel,Business,237,0,4,0,3,3,4,4,1,1,1,1,5,1,5,0,0.0
180,1,Male,Loyal Customer,56,Business travel,Business,2986,0,5,0,2,5,5,5,5,5,5,5,3,5,5,0,13.0
181,1,Female,Loyal Customer,56,Business travel,Business,254,4,4,4,4,3,5,4,5,5,5,5,3,5,3,0,0.0
182,1,Male,Loyal Customer,44,Business travel,Business,2612,4,4,4,4,2,4,4,4,4,4,5,3,4,3,0,0.0
183,0,Male,disloyal Customer,26,Business travel,Business,1587,3,0,3,3,2,3,2,2,5,5,4,4,5,2,0,0.0
184,1,Male,Loyal Customer,44,Business travel,Business,2541,0,4,0,2,4,5,4,1,1,1,1,3,1,5,0,0.0
185,0,Male,Loyal Customer,49,Business travel,Business,238,2,1,1,1,4,3,3,3,3,2,2,1,3,1,19,29.0
186,1,Male,Loyal Customer,42,Business travel,Business,3926,1,1,1,1,3,4,4,3,3,4,5,3,3,3,0,0.0
187,0,Male,disloyal Customer,36,Business travel,Business,1283,3,3,3,3,5,3,5,5,3,2,4,5,4,5,0,0.0
188,1,Male,disloyal Customer,20,Business travel,Business,980,4,2,4,1,5,4,5,5,4,4,5,5,5,5,0,0.0
189,1,Female,Loyal Customer,42,Business travel,Business,2915,0,0,0,2,5,4,5,3,3,3,3,5,3,4,0,0.0
190,1,Male,Loyal Customer,44,Business travel,Business,332,2,2,2,2,4,4,4,5,5,5,5,4,5,3,0,0.0
191,0,Male,disloyal Customer,35,Business travel,Business,1363,2,2,2,4,2,2,2,2,4,4,3,4,4,2,41,29.0
192,0,Male,Loyal Customer,52,Business travel,Business,2144,2,2,3,2,5,4,4,2,2,2,2,2,2,3,95,85.0
193,1,Female,Loyal Customer,50,Business travel,Business,250,1,1,1,1,5,4,4,5,5,5,5,4,5,3,0,0.0
194,1,Female,Loyal Customer,46,Business travel,Business,3593,2,2,2,2,3,4,4,5,5,5,5,3,5,3,128,117.0
195,1,Male,Loyal Customer,36,Business travel,Business,3148,0,4,0,1,5,4,5,2,2,2,2,5,2,4,0,0.0
196,1,Male,disloyal Customer,23,Business travel,Eco,1401,5,5,5,4,1,5,1,1,3,5,4,3,4,1,21,31.0
197,1,Male,Loyal Customer,56,Business travel,Business,2169,4,2,4,4,5,4,5,5,5,5,5,5,5,3,0,0.0
198,1,Male,disloyal Customer,57,Business travel,Business,1452,4,4,4,5,3,4,3,3,5,3,4,4,5,3,0,0.0
199,1,Female,Loyal Customer,60,Business travel,Business,3760,4,4,4,4,2,4,5,4,4,4,4,5,4,5,36,24.0
200,0,Female,Loyal Customer,43,Business travel,Business,3210,1,3,3,3,5,3,4,1,1,1,1,3,1,1,54,55.0
201,0,Female,Loyal Customer,43,Business travel,Business,213,1,5,5,5,5,4,3,2,2,2,1,2,2,3,65,85.0
202,0,Male,disloyal Customer,38,Business travel,Business,1241,3,3,3,3,5,3,5,5,5,4,5,4,4,5,17,4.0
203,0,Female,disloyal Customer,27,Business travel,Business,2148,3,3,3,4,5,3,5,5,4,5,3,4,4,5,0,0.0
204,0,Female,Loyal Customer,71,Business travel,Business,2396,2,3,3,3,2,3,3,4,4,4,2,1,4,1,9,8.0
205,0,Male,Loyal Customer,59,Business travel,Business,1858,4,5,5,5,5,3,3,4,4,3,4,3,4,2,21,19.0
206,0,Male,Loyal Customer,53,Business travel,Business,3766,3,4,4,4,4,4,3,3,3,3,3,2,3,1,0,0.0
207,1,Female,Loyal Customer,40,Business travel,Business,258,0,5,0,5,5,4,5,4,4,1,1,3,4,3,0,0.0
208,0,Female,disloyal Customer,49,Business travel,Business,1593,2,2,2,4,5,2,5,5,4,4,4,3,4,5,20,21.0
209,1,Female,Loyal Customer,69,Business travel,Business,338,2,2,3,2,1,4,2,4,4,4,4,5,4,5,0,0.0
210,0,Female,disloyal Customer,27,Business travel,Eco,1603,4,2,4,1,2,4,2,2,2,1,1,4,1,2,6,4.0
211,1,Male,disloyal Customer,22,Business travel,Eco,1065,5,0,5,1,3,5,3,3,4,4,5,1,3,3,1,4.0
212,0,Female,Loyal Customer,30,Business travel,Business,1400,2,5,5,5,5,4,2,5,1,2,3,1,4,5,25,13.0
213,0,Male,Loyal Customer,16,Business travel,Business,1310,3,5,3,5,2,2,3,2,1,5,4,1,3,2,0,0.0
214,0,Male,disloyal Customer,38,Business travel,Business,1837,2,2,2,3,3,2,5,3,1,3,3,1,4,3,0,0.0
215,0,Male,Loyal Customer,34,Personal Travel,Eco,2104,3,4,3,3,4,3,4,4,1,3,3,3,4,4,0,0.0
216,1,Female,Loyal Customer,35,Personal Travel,Eco,1118,0,3,0,4,3,0,3,3,4,3,4,3,4,3,0,2.0
217,0,Male,Loyal Customer,48,Personal Travel,Eco,1675,2,5,2,1,5,2,5,5,4,3,4,4,4,5,0,0.0
218,0,Male,Loyal Customer,17,Personal Travel,Eco,1293,4,4,4,3,3,4,2,3,3,3,2,4,4,3,0,3.0
